name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
chavannes-près-renens,2021-01-01,36.7,29,33.2,35.6,24.5,30,30.5,90.1,0.766,100,50,"rain,snow",0,0,,6.8,27.1,1008,88.8,6.2,22.1,1.9,1,,2021-01-01T08:17:48,2021-01-01T16:57:08,0.58,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"06610099999,E5414,06625099999,06700099999,06704099999,06640099999,06707099999,06618099999,06708099999,06703099999,06619099999,06609099999,06627099999,06617099999,06711099999"
chavannes-près-renens,2021-01-02,34.3,31.9,33.3,27,23.8,25.5,29.7,86.5,0,0,0,,0,0,,12,35.6,1008.6,89.7,,11.4,0.9,1,,2021-01-02T08:17:47,2021-01-02T16:58:05,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"E5414,06704099999,06707099999,06618099999,06708099999,06703099999,06711099999"
chavannes-près-renens,2021-01-03,32.8,26.5,31.2,32.8,21.5,27.2,27.1,84.4,0.007,100,29.17,"rain,snow",0,0,,8.7,29.5,1010.7,91.6,6.2,13.7,1.3,1,,2021-01-03T08:17:43,2021-01-03T16:59:05,0.65,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"06606099999,E5414,06610099999,06625099999,06700099999,06704099999,06707099999,06618099999,06608099999,06604099999,06708099999,06703099999,06609099999,06619099999,06617099999,06711099999"
chavannes-près-renens,2021-01-04,31.5,25.9,29.6,28.4,19.4,23.3,25.3,83.8,0,0,0,"rain,snow",0.2,0.1,,9.2,35.2,1011,60.9,6.2,6.7,0.5,0,,2021-01-04T08:17:37,2021-01-04T17:00:07,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06606099999,06610099999,E5414,06700099999,06640099999,06704099999,06707099999,06618099999,06608099999,06604099999,06708099999,06703099999,E5758,06619099999,06609099999,06627099999,06711099999"
chavannes-près-renens,2021-01-05,32.4,26.3,30.9,30.6,19.4,26.5,25.6,80.7,0,0,0,"rain,snow",0.1,0.2,,6.1,28.1,1011.5,77.1,4.3,11,1,0,,2021-01-05T08:17:27,2021-01-05T17:01:11,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06606099999,06610099999,E5414,06700099999,06704099999,06707099999,06618099999,06608099999,06604099999,06708099999,06703099999,06609099999,D0499,06711099999"
chavannes-près-renens,2021-01-06,32.6,24.5,30.4,32.6,23.1,28.3,23.9,77,0,0,0,,0,0,,5.9,17.6,1014.5,56,,18.2,1.5,1,,2021-01-06T08:17:15,2021-01-06T17:02:16,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06610099999,E5414,06625099999,06704099999,06707099999,06618099999,06708099999,06703099999,06619099999,06609099999,06627099999,D0499,06711099999"
chavannes-près-renens,2021-01-07,35,23.1,28.5,35,16.7,26.1,23.2,81,0.157,100,8.33,"rain,snow",0,0,,5.1,353.8,1016.5,9.4,,54.7,4.8,3,,2021-01-07T08:17:01,2021-01-07T17:03:24,0.8,"Snow, Rain",Clear conditions throughout the day with rain or snow in the morning and afternoon.,rain,"06610099999,E5414,06625099999,06704099999,06640099999,06707099999,06618099999,06708099999,06703099999,06712099999,06619099999,06609099999,06702099999,06627099999,06617099999,06711099999"
chavannes-près-renens,2021-01-08,36.8,25.3,30.9,33.8,20.5,27.9,22.6,71.5,0,0,0,,0,0,,8,52.5,1015.9,46.1,6.2,85.3,7.4,4,,2021-01-08T08:16:43,2021-01-08T17:04:33,0.83,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"06610099999,E5414,06705099999,LSGG,06625099999,06700099999,06720099999,06704099999,06707099999,07490099999,LSMP,06618099999,06708099999,06703099999,06619099999,06609099999,06617099999,06711099999"
chavannes-près-renens,2021-01-09,30.1,25.1,27.7,20.8,16.6,19.1,20.2,73.1,0,0,0,,0,0,,13.7,42.8,1018.1,90.8,,61.8,5.4,3,,2021-01-09T08:16:23,2021-01-09T17:05:43,0.87,Overcast,Cloudy skies throughout the day.,cloudy,"E5414,06704099999,06707099999,06618099999,06708099999,06703099999,06711099999"
chavannes-près-renens,2021-01-10,30.5,25,27.7,22,15,18,19.5,71,0,0,0,,0,0,,13.8,39.7,1019.3,16,,74,6.3,4,,2021-01-10T08:16:00,2021-01-10T17:06:56,0.9,Clear,Clear conditions throughout the day.,clear-day,"E5414,06704099999,06707099999,06618099999,06708099999,06703099999,06711099999"
