name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
chavannes-près-renens,2022-01-01,46.7,37.9,41.9,46.7,37.3,41.4,35.2,77.3,0,0,0,,0,0,8.1,4.2,30.1,1029.7,59.3,,73.5,6.5,4,,2022-01-01T08:17:48,2022-01-01T16:56:54,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"E5414,06704099999,06707099999,06618099999,06708099999,06703099999,06711099999"
chavannes-près-renens,2022-01-02,50.7,35.3,43.1,50.7,33.4,41.4,35,73.7,0,0,0,,0,0,16.1,7.3,265.9,1026.6,81.3,,33.7,2.9,2,,2022-01-02T08:17:48,2022-01-02T16:57:51,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"E5414,06704099999,06707099999,06618099999,06708099999,06703099999,06711099999,E5758"
chavannes-près-renens,2022-01-03,50.1,47.7,48.8,50.1,45.2,46.7,40,71.7,0,0,0,,0,0,16.1,6.9,273.9,1021.8,91.3,,30.5,2.7,1,,2022-01-03T08:17:45,2022-01-03T16:58:51,0.02,Overcast,Cloudy skies throughout the day.,cloudy,"E5414,06704099999,06707099999,06618099999,06708099999,06703099999,06711099999"
chavannes-près-renens,2022-01-04,56.1,45.3,50.2,56.1,41.1,48.2,41.1,71.8,0.097,100,37.5,rain,0,0,31.1,16.6,268.7,1006.4,72.4,,28.5,2.5,2,,2022-01-04T08:17:39,2022-01-04T16:59:52,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"E5414,06704099999,06707099999,06618099999,06708099999,06703099999,06711099999"
chavannes-près-renens,2022-01-05,41.8,31.8,35.9,37.7,27.6,31.7,28.9,76.4,0.155,100,41.67,rain,0,0,27.7,10.8,326.9,1012.6,59.4,,56.5,5,4,,2022-01-05T08:17:31,2022-01-05T17:00:55,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"E5414,06704099999,06707099999,06618099999,06708099999,06703099999,06711099999"
chavannes-près-renens,2022-01-06,38.4,30,33.4,33.8,25,28.9,25.7,73.7,0,0,0,,0,0,20.8,7.3,30.1,1020.4,34.5,,77,6.7,4,,2022-01-06T08:17:19,2022-01-06T17:02:00,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"E5414,06704099999,06707099999,06618099999,06708099999,06703099999,06711099999"
chavannes-près-renens,2022-01-07,34,28.2,31.3,29.8,24,26.5,26.3,81.8,0.017,100,29.17,"rain,snow",0.6,0.2,16.1,8.4,243,1023.1,52.7,,28.1,2.5,1,,2022-01-07T08:17:05,2022-01-07T17:03:07,0.15,"Snow, Rain, Partially cloudy",Becoming cloudy in the afternoon with rain or snow.,snow,"E5414,06704099999,06707099999,06618099999,06708099999,06703099999,06711099999"
chavannes-près-renens,2022-01-08,37.2,32.2,34.9,31.9,23.4,28.7,32.2,90,0.242,100,54.17,"rain,snow",0.5,0.9,20.8,11.8,248.4,1017.4,80.8,6.2,24.9,2.2,2,,2022-01-08T08:16:48,2022-01-08T17:04:16,0.19,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"E5414,06700099999,06720099999,06704099999,06707099999,06618099999,06708099999,06703099999,06711099999"
chavannes-près-renens,2022-01-09,40,32.8,36.2,32.4,26,30.3,33.4,89.9,0.376,100,91.67,"rain,snow",0.1,1.1,38,14.4,238.6,1009.1,84,4.5,10.4,0.8,1,,2022-01-09T08:16:29,2022-01-09T17:05:26,0.25,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,snow,"E5414,06700099999,06720099999,06704099999,06707099999,06618099999,D0499,06708099999,06703099999,06711099999"
chavannes-près-renens,2022-01-10,37.3,31.3,34.2,34,24.1,28,29.4,82.7,0.023,100,12.5,"rain,snow",0,0.5,27.7,12.1,32.9,1018.3,28,15,138.9,12.1,7,10,2022-01-10T08:16:07,2022-01-10T17:06:38,0.25,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"E5414,06704099999,06707099999,06618099999,06708099999,06703099999,06711099999"
chavannes-près-renens,2022-01-11,36.8,31.3,33.1,29.3,22.4,24.9,27,78.4,0.002,100,8.33,"rain,snow",0,0.5,29.3,12.1,49.4,1028.8,22.2,15,78.2,6.9,4,10,2022-01-11T08:15:42,2022-01-11T17:07:52,0.29,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"E5414,06704099999,06707099999,06618099999,06708099999,06703099999,06711099999"
chavannes-près-renens,2022-01-12,34.6,27.6,30.4,28.7,18.9,23.1,23.5,75.1,0,0,0,,0,0.5,25.3,10.5,40.5,1035.8,11.1,15,89.2,7.7,4,10,2022-01-12T08:15:14,2022-01-12T17:09:07,0.32,Clear,Clear conditions throughout the day.,clear-day,"E5414,06704099999,06707099999,06618099999,06708099999,06703099999,06711099999"
