datetime,tempmax,tempmin,temp,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,severerisk,conditions,description,Weekend,Precip_last_7D,holidays
2024-05-14,67.2,50.7,59.6,59.6,51.8,76.4,0.155,100.0,25.0,rain,0.0,0.0,11.1,256.2,1007.5,63.1,6.1,108.5,9.4,10,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,0,0.178,0
2024-05-15,61.0,54.3,56.6,56.6,52.5,86.3,0.957,100.0,66.67,rain,0.0,0.0,11.4,188.6,1006.7,80.8,5.6,76.7,6.6,10,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,0,1.125,0
2024-05-16,57.0,50.7,53.4,53.4,49.9,88.4,0.532,100.0,70.83,rain,0.0,0.0,10.2,227.9,1007.3,73.2,6.1,132.9,11.5,10,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,0,1.657,0
2024-05-17,66.0,48.3,56.6,56.4,46.3,71.4,0.043,100.0,8.33,rain,0.0,0.0,13.6,250.1,1010.2,51.4,6.1,286.1,24.7,10,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,0,1.7,0
2024-05-18,66.1,46.3,57.4,57.4,48.5,73.8,0.02,100.0,12.5,rain,0.0,0.0,15.0,243.5,1012.5,53.8,7.9,182.1,15.9,10,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,1,1.72,0
2024-05-19,67.9,55.1,61.4,61.4,52.0,72.7,0.0,45.2,0.0,rain,0.0,0.0,4.0,169.9,1011.8,32.3,15.0,321.1,27.8,10,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,1,1.72,0
2024-05-20,72.1,56.7,63.6,63.6,52.9,69.6,0.13,100.0,16.67,rain,0.0,0.0,8.7,11.7,1008.3,57.6,13.7,299.1,25.9,10,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,0,1.837,0
2024-05-21,59.4,57.5,58.6,58.6,54.0,85.1,0.918,100.0,75.0,rain,0.0,0.0,17.7,224.0,1006.3,100.0,7.8,68.8,5.9,10,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,0,2.6,0
2024-05-22,65.9,57.5,60.5,60.5,49.9,69.0,0.036,83.9,12.5,rain,0.0,0.0,13.2,242.3,1009.1,79.0,13.7,302.6,26.1,10,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,0,1.679,0
2024-05-23,65.2,48.8,57.8,57.6,49.0,73.1,0.047,90.3,12.5,rain,0.0,0.0,4.9,28.1,1014.2,59.6,14.7,312.5,27.1,10,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,0,1.194,0
2024-05-24,62.0,52.2,56.4,56.4,50.9,81.9,0.508,77.4,25.0,rain,0.0,,7.6,254.9,1016.4,85.3,13.2,209.0,18.3,10,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,0,1.659,0
2024-05-25,62.3,50.6,56.7,56.7,50.1,78.9,0.095,51.6,25.0,rain,0.0,,5.2,341.7,1020.1,30.5,14.1,302.3,26.6,10,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,1,1.734,0
2024-05-26,65.4,51.3,58.9,58.9,51.4,76.7,0.0,58.1,0.0,rain,0.0,,4.9,83.1,1016.5,49.8,15.0,313.3,26.9,10,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,1,1.734,0
2024-05-27,65.7,57.6,61.8,61.8,55.6,80.4,0.354,74.2,33.33,rain,0.0,,4.9,221.4,1013.5,85.5,11.4,269.6,23.4,10,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,0,1.9579999999999997,0
2024-05-28,66.1,55.8,61.0,61.0,54.0,78.4,0.664,54.8,33.33,rain,0.0,,7.8,250.9,1015.7,64.4,9.7,290.8,25.2,10,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,0,1.704,0
2024-05-29,66.5,52.2,59.0,59.0,50.0,72.3,0.0,64.5,0.0,rain,0.0,,4.5,100.4,1017.5,82.4,15.0,304.9,26.9,10,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,0,1.668,0
2024-05-30,69.9,54.8,62.6,62.6,54.2,74.7,0.083,67.7,8.33,rain,0.0,,4.9,57.6,1013.8,76.8,14.4,324.1,28.1,10,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,0,1.704,0
2024-05-31,67.2,60.5,63.0,63.0,59.1,87.2,0.425,64.5,33.33,rain,0.0,,6.0,237.5,1011.7,100.0,11.0,173.8,14.7,10,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,0,1.621,0
