name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
chavannes-près-renens,2023-01-01,57.9,49.6,52.8,57.9,46.6,52.4,44.2,73.1,0,0,0,,0,0,18.7,8.4,283.6,1024,30.9,14.6,68.3,6,3,10,2023-01-01T08:17:49,2023-01-01T16:56:41,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"06610099999,E5414,06700099999,06720099999,06704099999,06707099999,06618099999,06708099999,06703099999,06711099999"
chavannes-près-renens,2023-01-02,55.8,46.8,52,55.8,46.3,51.7,39.4,63.2,0.11,100,33.33,rain,0,0,26.2,11.9,283,1024,72,14.9,28.6,2.4,2,10,2023-01-02T08:17:49,2023-01-02T16:57:38,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"E5414,06704099999,06707099999,06618099999,06708099999,06703099999,06711099999"
chavannes-près-renens,2023-01-03,46.1,42.5,44.5,46.1,42.5,44.5,43.4,96.2,0.146,100,70.83,rain,0,0,13.9,2.5,19.3,1031,93.9,13.9,13.8,1.1,1,10,2023-01-03T08:17:47,2023-01-03T16:58:36,0.38,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"E5414,06704099999,06707099999,06618099999,06708099999,06703099999,06711099999"
chavannes-près-renens,2023-01-04,46.7,40.6,44,44.5,38.4,42.2,41.6,91.5,0,0,0,rain,0,0,11.2,5.6,267.5,1032.7,87.4,15,40.3,3.5,2,10,2023-01-04T08:17:41,2023-01-04T16:59:37,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"E5414,06704099999,06707099999,06618099999,06708099999,06703099999,06711099999"
chavannes-près-renens,2023-01-05,49.9,43.4,45.9,49.9,40.7,44.3,44.3,93.9,0.259,100,45.83,rain,0,0,11.7,6,261.3,1028.8,74.2,12.2,57.8,5,3,10,2023-01-05T08:17:34,2023-01-05T17:00:40,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"E5414,06704099999,06707099999,06618099999,06708099999,06703099999,06711099999"
chavannes-près-renens,2023-01-06,45,39.8,42.5,45,39.6,42.4,41.1,94.7,0,0,0,rain,0,0,8.9,3.5,5.8,1026,56.9,15,15.3,1.3,1,10,2023-01-06T08:17:23,2023-01-06T17:01:45,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"E5414,06704099999,06707099999,06618099999,06708099999,06703099999,06711099999"
chavannes-près-renens,2023-01-07,49.3,40.9,44,46.8,39.2,42.3,38.5,81.3,0,0,0,,0,0,14.1,6.7,172.2,1019.5,57.5,15,71.3,6.1,3,10,2023-01-07T08:17:09,2023-01-07T17:02:51,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"E5414,06704099999,06707099999,06618099999,06708099999,06703099999,06711099999"
chavannes-près-renens,2023-01-08,45.4,42.7,44,43.7,38.3,41.1,40.2,86.5,0.774,100,83.33,rain,0,0,21.9,10.3,246.2,1009.9,88.2,10.9,5.7,0.4,0,10,2023-01-08T08:16:53,2023-01-08T17:04:00,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"E5414,06704099999,06707099999,06618099999,D0499,06708099999,06703099999,06711099999"
chavannes-près-renens,2023-01-09,46.4,35.3,40.4,42.1,27.8,34.8,35.5,82.9,0.468,100,87.5,rain,0,0,34.9,15.9,241.1,1011.4,90.1,7.6,15,1.3,1,10,2023-01-09T08:16:34,2023-01-09T17:05:10,0.58,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"E5414,06704099999,06707099999,06618099999,06708099999,06703099999,06711099999"
chavannes-près-renens,2023-01-10,41,35.1,38.5,40.2,30.8,35.2,33.3,81.5,0.086,100,37.5,"rain,snow",0,0,21.5,6.8,264.8,1025.5,82.8,11.8,79.1,6.8,4,10,2023-01-10T08:16:13,2023-01-10T17:06:21,0.62,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,rain,"E5414,06704099999,06707099999,06618099999,06708099999,06703099999,06711099999,E5758"
chavannes-près-renens,2023-01-11,42,38.5,40.6,39.1,35.2,37.3,36.7,86.3,0.172,100,41.67,rain,0,0,13.4,6,268,1024.4,92.2,12.9,15,1.3,1,10,2023-01-11T08:15:49,2023-01-11T17:07:34,0.65,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"E5414,06704099999,06707099999,06618099999,06708099999,06703099999,06711099999"
chavannes-près-renens,2023-01-12,43.6,38.9,41.5,40.4,34.4,37.8,37.1,84.2,0.002,100,8.33,rain,0,0,17.1,9.1,275.2,1025.7,91.4,15,26.8,2.2,1,10,2023-01-12T08:15:22,2023-01-12T17:08:49,0.68,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"E5414,06704099999,06707099999,06618099999,06708099999,06703099999,06711099999"
chavannes-près-renens,2023-01-13,46.7,41.3,43.5,42.6,34.4,38.4,38.9,83.9,0.071,100,70.83,rain,0,0,26.2,13,255.2,1022.8,90.7,12,37,3.1,3,10,2023-01-13T08:14:52,2023-01-13T17:10:05,0.72,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"E5414,06704099999,06707099999,06618099999,06708099999,06703099999,06711099999"
chavannes-près-renens,2023-01-14,47.1,38.7,42.9,44.3,34.6,39.3,35,74,0.008,100,16.67,rain,0,0,21.9,8,275.9,1021.4,98.6,15,31,2.7,1,10,2023-01-14T08:14:20,2023-01-14T17:11:22,0.75,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"E5414,06704099999,06707099999,06618099999,06708099999,06703099999,06711099999"
chavannes-près-renens,2023-01-15,46.8,35.4,41.2,41.6,30.9,35.8,37.2,85.9,0.456,100,58.33,rain,0,0,32.7,14.9,253.9,1014.6,87,10.9,19.3,1.6,2,10,2023-01-15T08:13:46,2023-01-15T17:12:41,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"E5414,06704099999,06707099999,06618099999,06708099999,06703099999,06711099999,E5758"
chavannes-près-renens,2023-01-16,40,34,36.2,32.7,24.6,29.5,32.1,85.2,0.129,100,45.83,rain,0,0,39.8,15.4,232.1,999,74.1,9.6,7.3,0.7,0,10,2023-01-16T08:13:08,2023-01-16T17:14:01,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"06610099999,E5414,06700099999,06720099999,06704099999,06707099999,06618099999,06708099999,06703099999,06711099999,E5758"
chavannes-près-renens,2023-01-17,36.1,31.7,33.5,33.2,27.6,29.7,31.4,92,0.363,100,62.5,"rain,snow",0,0,32.3,10.6,20.7,989.2,81.4,11,4.5,0.3,0,10,2023-01-17T08:12:29,2023-01-17T17:15:22,0.85,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain or snow throughout the day.,rain,"E5414,06704099999,06707099999,06618099999,06708099999,06703099999,06711099999,E5758"
